IC50,QED,SMILES,MW,aLogP,HBA,HBD,RotBond,AromRings,Score
2.8676722,0.439642406694373,CC(C)c1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)cn1-c1ccccc1,437.511,5.006600000000003,4,3,9,3,-8.6
2.316003,0.45599607485150623,CC(C)c1cc(-c2cnccc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,438.49900000000014,4.536900000000005,5,3,9,3,-8.3
338.28162,0.6635141463052653,CC(C)c1cc(-c2ccccc2)cc(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1[O-],369.4370000000001,3.150400000000002,5,3,8,2,-7.6
1.4802164,0.4004210633826939,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H]1C[C@H](O)CC(Oc2c(F)cccc2F)O1,577.6250000000003,5.038300000000006,7,1,8,3,-8.6
1.3677301,0.15074899482714116,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](OCc2c(F)cccc2)CC(OCc2cc(F)ccc2)C1,679.8050000000001,8.064200000000008,6,0,12,4,-10.0
173.5944,0.8506229678701958,CC(C)c1cc(-c2ccnc(N(C)S(C)(=O)=O)c2)cc(Br)c1O,399.31,3.735900000000003,4,1,4,2,-6.4
4.8954816,0.5645279138585304,CC(C)c1nc(-c2ncccc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1CC(O)CC(=O)O1,432.49500000000023,5.152800000000006,5,1,5,3,-8.0
56.25848,0.5026579393625614,CC(C)c1nc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)c1CC1CCC1,378.4660000000002,6.5548000000000055,2,0,5,3,-7.5
104.47922,0.5273556638038226,CC(C)c1nnc(-c2ccc(S(C)(=O)=O)cc2)c(F)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,452.5040000000002,2.4093999999999998,8,3,9,2,-7.9
6.9955177,0.5257126025308527,CC(C)c1cc(-c2cccc(Br)c2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)c1,457.40800000000024,6.442600000000007,3,1,5,2,-8.0
1.690338,0.4959523405708717,CC(C)c1cc(-c2ccc(F)cc2)c(OCC(O)C[C@@H](O)CC(=O)O)c(C(C)C)c1F,436.4950000000002,4.844000000000004,5,3,10,2,-7.4
45.290623,0.3575603232407859,CC(C)c1cc(/N=C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c2ccc(F)cc2)cc(C(C)C)c1CC,469.5970000000002,5.898500000000006,4,3,11,2,-6.9
7.242528,0.38850472536604447,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/C(O)Oc1ccc(C(C)(C)C)cc1,527.6620000000003,5.510000000000006,6,1,8,3,-7.1
7.2263765,0.4045788531904483,CC(C)c1nn(-c2ccccc2N)c(-c2ccc(F)cc2)c1CCC(O)C[C@@H](O)CC(=O)[O-],454.5220000000003,2.5684999999999993,6,3,10,3,-7.7
29.053347,0.6828447536729066,CC(C)c1cc(-c2ccc(F)cc2)c(F)cc1OCC(O)C[C@@H](O)CC(=O)[O-],393.4060000000002,2.3859000000000004,5,2,9,2,-7.0
2.5160437,0.5309381048695209,CC(C)c1nc(-n2cncc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-],438.4790000000002,2.461900000000001,6,2,9,3,-8.8
4.2354317,0.3586741054904899,CC(C)c1cc(Sc2ccccc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,469.5780000000002,5.626100000000007,5,3,10,3,-8.2
23.527697,0.5066046912883788,CC(C)c1cn(-c2ccccc2)c(-c2ccc(F)cc2)c1CCC(O)C[C@@H](O)CC(=O)[O-],438.5190000000003,3.591300000000003,4,2,10,3,-8.0
12.021904,0.5484529755012608,CC(C)c1cc(-c2ccncc2)nc(-c2ccc(F)cc2)c1CCC1C[C@@H](O)CC(=O)O1,434.51100000000025,5.072200000000006,5,1,6,3,-8.8
